Fe(N)	U2_pt_effort(mm)	U2_pt_decol(mm)	
0	0.0000	0.0000	
2.403320e+04	0.0000	-0.0000	
4.806640e+04	0.0000	-0.0000	
7.209960e+04	0.0000	-0.0000	
9.613280e+04	0.0000	-0.0000	
120166	0.0000	-0.0000	
1.441992e+05	0.0000	-0.0000	
1.682324e+05	0.0000	-0.0000	
1.922656e+05	0.0000	-0.0000	
2.162988e+05	0.0000	-0.0000	
240332	0.0000	-0.0000	
2.643652e+05	0.0000	-0.0000	
2.883984e+05	0.0000	-0.0000	
3.124316e+05	0.0000	-0.0000	
3.364648e+05	0.0000	-0.0000	
360498	0.0000	-0.0000	
3.845312e+05	0.0000	-0.0000	
4.085644e+05	0.0000	-0.0000	
4.325976e+05	0.0000	-0.0000	
4.566308e+05	0.0000	-0.0000	
480664	0.0000	-0.0000	
